No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture speciale,Surface terrain,Type de voie_AV,Type de voie_BD,Type de voie_CHE,Type de voie_CITE,Type de voie_FG,Type de voie_GR,Type de voie_PL,Type de voie_QUAI,Type de voie_RTE,Type de voie_RUE,Type de voie_SQ,Type de voie_VOIE,Type local_Dépendance,Type local_Local industriel. commercial ou assimilé,Type local_Maison,Nature culture_AG,Nature culture_BT,Nature culture_Inconnu,Nature culture_J,Nature culture_L,Nature culture_P,Nature culture_S,Nature culture_T,Nature culture_VE,Nature culture_VI
1,14/02/2024,Vente en l'état futur d'achèvement,"15000,00",16.0,,165,ANDREY,25000,BESANCON,25,56,,BM,124,,2070.0,,,,,,,,,,1,,,0.0006235630426947613,,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,14/02/2024,Vente en l'état futur d'achèvement,"15000,00",16.0,,165,ANDREY,25000,BESANCON,25,56,,BM,124,,2108.0,,,,,,,,,,1,,,0.0006235630426947613,,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,14/02/2024,Vente en l'état futur d'achèvement,"12500,00",16.0,,165,ANDREY,25000,BESANCON,25,56,,BM,124,,2080.0,,,,,,,,,,1,,,0.0006235630426947613,,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,2/2/24,Vente,"176500,00",6.0,,4530,DES ROCHES,25000,BESANCON,25,56,,BS,266,,69.0,,79.0,"84,56",,,,,,,2,2.0,,0.14376225146093002,1.8480074848435637,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,2/2/24,Vente,"176500,00",2.0,,4530,DES ROCHES,25000,BESANCON,25,56,,BS,266,,127.0,,,,,,,,,,1,3.0,,-0.1598185900926162,-0.645308037048133,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
1,2/2/24,Vente,"176500,00",6.0,,4530,DES ROCHES,25000,BESANCON,25,56,,BS,266,,69.0,,79.0,"84,56",,,,,,,2,3.0,,-0.1598185900926162,-0.645308037048133,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
1,17/02/2024,Vente,"70500,00",12.0,,710,DE LA CASSOTTE,25000,BESANCON,25,56,,CV,508,,14.0,,62.0,,,,,,,,2,3.0,,-0.1598185900926162,-0.645308037048133,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
1,17/02/2024,Vente,"70500,00",12.0,,710,DE LA CASSOTTE,25000,BESANCON,25,56,,CV,508,,14.0,,62.0,,,,,,,,2,2.0,,-0.062239033878976335,-0.021979156575208856,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,12/2/24,Vente,"76850,00",22.0,,5220,DE LA VIEILLE MONNAIE,25000,BESANCON,25,56,,AP,73,,11.0,"26,45",12.0,,,,,,,,2,2.0,,-0.05862497624143412,0.6013497238977152,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
