No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain
1,30/05/2024,Vente,"240000,00",30,,RUE,4750,7EME ARMEE AMERICAINE,25000,BESANCON,25,56,,DP,89,,,,,,,,,,,,0,2,Appartement,,57,2,S,,1055
1,30/05/2024,Vente,"240000,00",30,,RUE,4750,7EME ARMEE AMERICAINE,25000,BESANCON,25,56,,DP,89,,,,,,,,,,,,0,2,Appartement,,66,3,S,,1055
1,30/05/2024,Vente,"240000,00",30,,RUE,4750,7EME ARMEE AMERICAINE,25000,BESANCON,25,56,,DP,89,,,,,,,,,,,,0,2,Appartement,,65,3,S,,1055
1,30/05/2024,Vente,"240000,00",30,,RUE,4750,7EME ARMEE AMERICAINE,25000,BESANCON,25,56,,DP,89,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,,61,0,S,,1055
1,30/05/2024,Vente,"240000,00",30,,RUE,4750,7EME ARMEE AMERICAINE,25000,BESANCON,25,56,,DP,89,,,,,,,,,,,,0,2,Appartement,,43,1,S,,1055
1,30/05/2024,Vente,"240000,00",30,,RUE,4750,7EME ARMEE AMERICAINE,25000,BESANCON,25,56,,DP,89,,,,,,,,,,,,0,2,Appartement,,27,1,S,,1055
1,30/05/2024,Vente,"240000,00",30,,RUE,4750,7EME ARMEE AMERICAINE,25000,BESANCON,25,56,,DP,98,,,,,,,,,,,,0,,,,,,S,,504
1,21/05/2024,Vente,"230000,00",30,,RUE,5120,DE VERDUN,25000,BESANCON,25,56,,BS,74,,,,,,,,,,,,0,1,Maison,,67,3,S,,873
1,21/05/2024,Vente,"117500,00",9,,RUE,2300,DU GENERAL LECOURBE,25000,BESANCON,25,56,,AP,30,,2,"93,75",8,,9,"17,80",,,,,3,3,Dépendance,,0,0,,,
1,21/05/2024,Vente,"117500,00",9,,RUE,2300,DU GENERAL LECOURBE,25000,BESANCON,25,56,,AP,30,,2,"93,75",8,,9,"17,80",,,,,3,2,Appartement,,100,4,,,
1,21/05/2024,Vente,"117500,00",9,,RUE,2300,DU GENERAL LECOURBE,25000,BESANCON,25,56,,AP,30,,2,"93,75",8,,9,"17,80",,,,,3,3,Dépendance,,0,0,,,
1,22/05/2024,Vente,"111000,00",11,,RUE,446,BLAISE PASCAL,25000,BESANCON,25,56,,EK,282,,32,,,,,,,,,,1,3,Dépendance,,0,0,,,
1,22/05/2024,Vente,"111000,00",13,,RUE,446,BLAISE PASCAL,25000,BESANCON,25,56,,EK,282,,14,"66,99",,,,,,,,,1,2,Appartement,,65,3,,,
1,29/05/2024,Vente,"59200,00",4,,RUE,5180,VICTOR DELAVELLE,25000,BESANCON,25,56,,CW,293,,101,"44,95",153,,,,,,,,2,4,Local industriel. commercial ou assimilé,,45,0,,,
