Valeur fonciere,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales,Nature culture,Surface terrain
"501250,00",,,,,0,3.0,Dépendance,0.0,0.0,S,823.0
"501250,00",,,,,0,2.0,Appartement,45.0,2.0,S,823.0
"501250,00",,,,,0,2.0,Appartement,100.0,3.0,S,823.0
"501250,00",,,,,0,3.0,Dépendance,0.0,0.0,S,823.0
"501250,00",,,,,0,2.0,Appartement,100.0,3.0,S,823.0
"501250,00",,,,,0,3.0,Dépendance,0.0,0.0,S,823.0
"150000,00",60.0,,84.0,,2,3.0,Dépendance,0.0,0.0,,
"150000,00",60.0,,84.0,,2,2.0,Appartement,71.0,4.0,,
"150000,00",136.0,,,,1,3.0,Dépendance,0.0,0.0,,
"270000,00",3.0,,,,1,3.0,Dépendance,0.0,0.0,,
"270000,00",9.0,"126,69",,,1,2.0,Appartement,130.0,4.0,,
"170000,00",615.0,"85,48",89.0,,2,3.0,Dépendance,0.0,0.0,,
"170000,00",1027.0,,,,1,3.0,Dépendance,0.0,0.0,,
"170000,00",958.0,,,,1,3.0,Dépendance,0.0,0.0,,
"170000,00",615.0,"85,48",89.0,,2,2.0,Appartement,87.0,4.0,,
"170000,00",615.0,"85,48",89.0,,2,3.0,Dépendance,0.0,0.0,,
"105000,00",13.0,,21.0,,4,3.0,Dépendance,0.0,0.0,,
"105000,00",13.0,,21.0,,4,2.0,Appartement,45.0,2.0,,
"105000,00",13.0,,21.0,,4,3.0,Dépendance,0.0,0.0,,
"105000,00",13.0,,21.0,,4,3.0,Dépendance,0.0,0.0,,
"105000,00",,,,,0,3.0,Dépendance,0.0,0.0,S,14.0
"11000,00",,,,,0,,,,,P,759.0
"85000,00",1.0,"54,16",6.0,,2,3.0,Dépendance,0.0,0.0,,
"85000,00",1.0,"54,16",6.0,,2,2.0,Appartement,50.0,3.0,,
"43000,00",12.0,"17,08",,,1,2.0,Appartement,21.0,1.0,,
"152800,00",188.0,"82,26",228.0,,2,2.0,Appartement,87.0,4.0,,
"152800,00",910.0,,,,1,3.0,Dépendance,0.0,0.0,,
"152800,00",703.0,,,,1,3.0,Dépendance,0.0,0.0,,
"152800,00",188.0,"82,26",228.0,,2,3.0,Dépendance,0.0,0.0,,
"100000,00",260.0,"67,22",261.0,,3,2.0,Appartement,66.0,4.0,,
"100000,00",260.0,"67,22",261.0,,3,3.0,Dépendance,0.0,0.0,,
"20000,00",206.0,"29,16",,,1,2.0,Appartement,30.0,1.0,,
"75000,00",60.0,,,,1,3.0,Dépendance,0.0,0.0,,
"75000,00",24.0,,,,1,3.0,Dépendance,0.0,0.0,,
"75000,00",58.0,"44,00",,,1,2.0,Appartement,38.0,1.0,,
"113000,00",76.0,,77.0,,3,2.0,Appartement,60.0,4.0,,
"113000,00",76.0,,77.0,,3,3.0,Dépendance,0.0,0.0,,
"113000,00",76.0,,77.0,,3,3.0,Dépendance,0.0,0.0,,
"620000,00",,,,,0,,,,,L,463.0
"620000,00",,,,,0,1.0,Maison,155.0,5.0,J,371.0
"620000,00",,,,,0,3.0,Dépendance,0.0,0.0,J,371.0
"620000,00",,,,,0,,,,,S,332.0
"85000,00",138.0,,150.0,"55,49",2,3.0,Dépendance,0.0,0.0,,
"85000,00",138.0,,150.0,"55,49",2,2.0,Appartement,57.0,3.0,,
"85000,00",138.0,,150.0,"55,49",2,3.0,Dépendance,0.0,0.0,,
"139500,00",188.0,,,,1,3.0,Dépendance,0.0,0.0,,
"139500,00",104.0,"42,41",,,1,2.0,Appartement,42.0,2.0,,
"66550,00",98.0,"23,07",,,1,2.0,Appartement,22.0,1.0,,
"66550,00",129.0,,,,1,3.0,Dépendance,0.0,0.0,,
"133000,00",27.0,"67,06",78.0,,2,3.0,Dépendance,0.0,0.0,,
"133000,00",27.0,"67,06",78.0,,2,2.0,Appartement,67.0,4.0,,
"133000,00",27.0,"67,06",78.0,,2,3.0,Dépendance,0.0,0.0,,
"110570,00",368.0,,384.0,"56,67",2,3.0,Dépendance,0.0,0.0,,
